ccg_nm,ccg_cd,org_cd,region,perc_budget,spend_YP,perc_referral,avg_wait,perc_closed,overall_score
NHS SALFORD CCG,E38000143,01G,North West,0.01197233,89.40488005,0.048509633,27,0.33,18
NHS SANDWELL AND WEST BIRMINGHAM CCG,E38000144,05L,Midlands,0.012645483,76.0175653,0.027728938,35,0.36,13
NHS SHEFFIELD CCG,E38000146,03N,North East and Yorkshire,0.010560838,75.11175375,0.033699894,43,0.33,12
NHS SHROPSHIRE CCG,E38000147,05N,Midlands,0.006816103,49.05609209,0.033917702,29,0.4,8
NHS SOMERSET CCG,E38000150,11X,South West,0.008519896,62.28603776,0.033604989,15,0.35,11
NHS South East London CCG,E38000244,72Q,London,0.011812737,80.13700138,0.029557863,29,0.12,17
NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,E38000153,05Q,Midlands,0.015778309,102.989064,0.042071929,58,0.34,15
NHS SOUTH EASTERN HAMPSHIRE CCG,E38000154,10V,South East,0.008304099,56.09304213,0.050492415,65,0.22,13
NHS SOUTH SEFTON CCG,E38000161,01T,North West,0.011383225,91.74648836,0.031826667,28,0.14,19
NHS SOUTH TYNESIDE CCG,E38000163,00N,North East and Yorkshire,0.014896025,135.6422018,0.084779375,57,0.17,21
NHS SOUTH WARWICKSHIRE CCG,E38000164,05R,Midlands,0.007360655,51.5906879,0.03787663,54,0.21,10
NHS South West London CCG,E38000245,36L,London,0.010954553,67.34585902,0.03602635,28,0.27,15
NHS SOUTHAMPTON CCG,E38000167,10X,South East,0.013452687,97.26672586,0.038895109,34,0.38,17
NHS SOUTHEND CCG,E38000168,99G,East of England,0.007244149,49.57290618,0.039888263,10,0.3,12
NHS SOUTHPORT AND FORMBY CCG,E38000170,01V,North West,0.005354117,49.99766584,0.023808412,27,0.15,12
NHS ST HELENS CCG,E38000172,01X,North West,0.009167553,81.96676876,0.053804245,28,0.39,16
NHS STAFFORD AND SURROUNDS CCG,E38000173,05V,Midlands,0.015436204,101.411907,0.04405065,64,0.37,16
NHS STOCKPORT CCG,E38000174,01W,North West,0.006711381,47.59416616,0.044129384,38,0.33,9
NHS STOKE ON TRENT CCG,E38000175,05W,Midlands,0.006534437,47.72188416,0.050961393,23,0.31,13
NHS SUNDERLAND CCG,E38000176,00P,North East and Yorkshire,0.012354567,110.0575821,0.070135541,55,0.26,17
NHS Surrey Heartlands CCG,E38000246,92A,South East,0.008976492,54.55824363,0.04280081,47,0.23,11
NHS SURREY HEATH CCG,E38000178,10C,South East,0.011498903,73.44845841,0.04190971,64,0.23,15
NHS TAMESIDE AND GLOSSOP CCG,E38000182,01Y,North West,0.009107695,61.16145933,0.040414903,46,0.17,14
NHS Tees Valley CCG,E38000247,16C,North East and Yorkshire,0.015332899,113.711049,0.061526258,17,0.21,24
NHS TELFORD AND WREKIN CCG,E38000183,05X,Midlands,0.011030824,64.0085003,0.037698699,29,0.34,13
NHS THURROCK CCG,E38000185,07G,East of England,0.008807781,45.68882218,0.032061876,14,0.28,12
NHS TOWER HAMLETS CCG,E38000186,08V,London,0.014958959,84.09068759,0.022417588,13,0.12,20
NHS TRAFFORD CCG,E38000187,02A,North West,0.006812298,40.69189065,0.039028008,29,0.22,12
NHS VALE OF YORK CCG,E38000188,03Q,North East and Yorkshire,0.010396821,69.99861416,0.043563088,43,0.15,17
NHS WAKEFIELD CCG,E38000190,03R,North East and Yorkshire,0.016297622,122.9296135,0.056810605,17,0.16,25
NHS WALSALL CCG,E38000191,05Y,Midlands,0.01275603,78.89009009,0.042162162,55,0.27,15
NHS WALTHAM FOREST CCG,E38000192,08W,London,0.011833738,70.10808426,0.023459144,20,0.24,16
NHS WARRINGTON CCG,E38000194,02E,North West,0.009473596,66.86737443,0.056930077,33,0.26,16
NHS WARWICKSHIRE NORTH CCG,E38000195,05H,Midlands,0.01001395,63.65616335,0.037493953,56,0.22,12
NHS WEST ESSEX CCG,E38000197,07H,East of England,0.01002666,61.86441877,0.031116077,10,0.32,13
NHS WEST HAMPSHIRE CCG,E38000198,11A,South East,0.009263166,60.74669072,0.046841658,49,0.19,14
NHS WEST LANCASHIRE CCG,E38000200,02G,North West,0.01018148,75.89123221,0.047856565,48,0.25,15
NHS WEST LEICESTERSHIRE CCG,E38000201,04V,Midlands,0.008833157,51.92473929,0.035171931,10,0.14,15
NHS WEST LONDON CCG,E38000202,08Y,London,0.01602552,138.3676076,0.020251618,37,0.18,17
NHS WEST SUFFOLK CCG,E38000204,07K,East of England,0.009374544,67.35657404,0.049070412,26,0.23,17
NHS West Sussex CCG,E38000248,70F,South East,0.007678411,55.62502221,0.035133336,38,0.28,8
NHS WIGAN BOROUGH CCG,E38000205,02H,North West,0.009233827,67.63807218,0.040283062,26,0.32,14
NHS WIRRAL CCG,E38000208,12F,North West,0.009117775,76.01728671,0.061766843,24,0.11,20
NHS WOLVERHAMPTON CCG,E38000210,06A,Midlands,0.014962498,95.08736166,0.040602052,44,0.19,19
